Timestamp	How old are you? Please write a number	What is your gender?	How often do you play video games (on average)?	If you are a student, are your studies related to videogames?	If you have a job, do you work in the videogame industry?	I felt my perception of time change during the experience	I felt like everything slowed down	I felt my sense of self become somehow smaller	I experienced a sense of oneness with all things	I felt humbled by the experience	I felt closely connected to humanity	I experienced something greater than myself	I had chills or goosebumps	I struggled to take in all that I was experiencing at once	I felt challenged to mentally process what I was experiencing	I think the experience had a positive impact on me	I felt fear or discomfort	I had a sense of peace of mind	I felt admiration towards the game developers	After the experience, I wanted to be a better person	Are there any other comments you wish to add about your feelings during or after the experience?	What is the title of the game?	What genre does the game belong to? Choose all that apply	How would you rate the graphics?	How would you describe the graphics of the game? Choose all that apply.	How would you rate the story (if not applicable skip this question)?	How would you describe the story of the game? Choose all that apply. (If the game did not have a story, select "not applicable")	How would you rate the soundtrack?	How would you describe the soundtrack of the game? Choose all that apply	How did you like playing the main character (if applicable)?	Which of these items apply to your experience with the main character? You can select as many items as you want. (If the game did not involve controlling a character, select "not applicable")	In what place(s) was the game set? Choose all the locations that you can remember from the game	Which of these characteristics apply to the game? Choose all that apply	When the experience occurred, were you playing using a virtual reality headset?	How would you describe the VR experience (if you replied "no" to the previous question, select "not applicable")? Choose all that apply	Is there anything else you would like to tell me about the game that was not covered by the previous questions?
4/19/2022 17:23:01	32	Male	more than 6 hours per week	No	No	3	1	2	2	4	3	3	4	1	1	3	1	2	5	3	I was mainly blown away with how far we had come in terms of technology. This moment was entering Siofra River for the first time in Elden Ring. I have gamed for the last 25 years and I was hit with a strong sense of awe at what the developers had created. This mysterious place all tucked away. 	Elden Ring 	adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning, I would say that the art style in this game had a greater impact than "realistic" graphics 	4	rich in subplots, confusing, complex, captivating, Very complex and sometimes obtuse but interesting when you figure it out 	5	pleasant, chilling, captured my attention while playing, on spot, perfect for the game	5	I felt like my choices could affect the course of the game, I felt represented by the main character, I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent, The character was customizable, I would say you can somewhat change the personality of your character when deciding who to align with (factions etc) even though it is very, very loose in Elden Ring	woods, forests, fantasy world, sky, post-apocalyptic world, medieval towns	the game kept me focused and absorbed, the game was challenging at the right point, the game was challenging, sometimes too much, the game was fast-paced and exciting, the game was addictive, Elden Ring feels unfair at times but that's the point of it. Life is unfair - it's about never giving up. 	No	not applicable	
4/19/2022 17:34:22	30	Male	2-6 hours per week	No	No	4	4	4	3	3	2	2	4	3	2	4	1	4	5	3	The feeling of awe in video games feels similar to Flow in that it captures all of my attention. I'm focused entirely on the experience in order to take it all in. I feel connected and immersed in the game and that moment rather than anything external.	GTA IV	action (eg. platform, survival, stealth, shooter, fighting...)	4	realistic	4	captivating, rich in subplots	4	Varied and player controlled	5	I identified myself with the main character, to a certain extent, The character was customizable, It was easy to empathize with the main character	modern city	the game was addictive, the game kept me focused and absorbed, The game's open world allowed for player freedom	No	not applicable	I didn't feel as though my actions would change the course of the game, but since I connected to the main character I felt the difficult decisions he had to make and felt immersed in the story/world.
4/19/2022 17:43:22	28	Male	more than 6 hours per week	No	Yes	3	3	4	2	5	2	4	4	4	3	5	1	3	5	4		Shadow of the Colossus (2018 remake)	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), action-adventure (eg. metroidvania)	5	visually stunning	4	captivating, Minimal. Much of the story is not explained to the user.	5	on spot, perfect for the game, chilling	4	I identified myself with the main character, to a certain extent, I was able to shape, at least partially, the main character's personality, The character was simple	woods, forests, desert, ancient crumbling stone structures	the game kept me focused and absorbed, the game was challenging at the right point, SotC strikes a balance between slow-paced moments ofserenity, and fast-paced, climactic sequences.	No	not applicable	
4/19/2022 17:44:57	35	Male	2-6 hours per week	No	No	4	1	2	1	3	1	2	2	1	1	3	1	2	2	1		Kingdom's of Amalur: Re-reckoning	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	simple, visually stunning, Cheerful	3	rich in subplots, simple and easy to follow, includes plot-twists	5	on spot, perfect for the game, captured my attention while playing, pleasant	4	The character was simple, I was able to shape, at least partially, the main character's personality, The character was customizable	woods, forests, desert, fantasy world, medieval towns, warzone	the game was very easy, the game was fast-paced and exciting, the game was addictive, the game kept me focused and absorbed	No	not applicable	
4/19/2022 17:46:47	27	Male	1-2 hours per week	No	No	4	4	5	3	3	3	4	4	5	3	5	4	2	5	3		Outer Wilds	action (eg. platform, survival, stealth, shooter, fighting...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	5	simple, visually stunning	5	captivating	5	on spot, perfect for the game	4	The character was simple	space, spacecraft	the game was addictive	No	not applicable	
4/19/2022 17:53:39	33	Non-binary	more than 6 hours per week	No	No	5	3	2	1	3	1	4	3	1	1	5	1	4	5	1		Journey	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), adventure (eg. text or graphic adventures, visual novels...)	5	simple, visually stunning	3	not applicable	5	pleasant, captured my attention while playing	3	The character was simple	sky, sea, ocean, woods, forests, desert, fantasy world, post-apocalyptic world	the game was slow-paced and relaxing, the game was very easy, the game kept me focused and absorbed	No	uncomfortable (even after practicing the controllers for a while)	
4/19/2022 18:13:57	27	Male	more than 6 hours per week	No	No	4	3	3	2	5	1	5	5	1	5	5	1	2	5	3		Mass Effect Trilogy	action (eg. platform, survival, stealth, shooter, fighting...), strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning, realistic	5	rich in subplots, captivating, includes plot-twists, complex	3	pleasant, irrelevant, left me indifferent	5	I identified myself with the main character, to a certain extent, I felt represented by the main character, I was able to shape, at least partially, the main character's personality, The character was customizable, I felt like my choices could affect the course of the game	space, spacecraft, fantasy world	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 18:36:26	25	Male	more than 6 hours per week	No	No	4	5	4	3	3	3	4	3	3	4	4	2	4	5	3		Outer Wilds	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	4	simple, visually stunning	5	captivating, rich in subplots, includes plot-twists, complex	5	captured my attention while playing, on spot, perfect for the game, chilling, pleasant	3	The character was simple, I felt like my choices could affect the course of the game	space, spacecraft, woods, forests, sky, desert, sea, ocean	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 18:37:10	22	Female	more than 6 hours per week	No	No	2	2	4	3	5	3	5	5	5	5	5	2	4	5	3		Elden Ring	action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning	5	includes plot-twists, rich in subplots, confusing, complex, captivating	5	chilling, on spot, perfect for the game, captured my attention while playing	5	I was able to shape, at least partially, the main character's personality, The character was simple, I identified myself with the main character, to a certain extent, I felt like my choices could affect the course of the game, I felt represented by the main character, The character was customizable	post-apocalyptic world, fantasy world, sky, medieval towns, woods, forests	the game was challenging at the right point, the game kept me focused and absorbed, the game was addictive	No	not applicable	
4/19/2022 18:40:29	21	Male	1-2 hours per week	No	No	5	4	2	4	4	2	4	5	4	2	5	1	1	5	4	This is way too abstract	Half-Life 1	action (eg. platform, survival, stealth, shooter, fighting...)	3	simple, visually stunning, disturbing	5	simple and easy to follow, captivating	5	on spot, perfect for the game, captured my attention while playing, pleasant	5	I was able to shape, at least partially, the main character's personality, The character was simple, I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent	post-apocalyptic world, desert, space, spacecraft, research facility	the game kept me focused and absorbed, the game was challenging at the right point, the game was slow-paced and relaxing	Yes	wonderful, immersive	
4/19/2022 18:55:42	35	Male	more than 6 hours per week	No	No	4	3	2	1	1	1	2	1	4	4	3	1	3	4	1	Video games produce more of a sense of aesthetic awe than existential awe. They are impressive and mesmerizing but not necessarily "sublime" in the Kantian sense. And the feeling of awe doesn't last much beyond the gaming session, unlike, say, taking in a natural landscape, which you don't turn "off" and "on" like a video game and which takes a different kind of activity, motivation and effort to achieve. 	Cyberpunk 2077	action-adventure (eg. metroidvania), adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning, realistic, Stylized	5	includes plot-twists, complex, rich in subplots, captivating	2	on spot, perfect for the game, annoying	5	I felt like my choices could affect the course of the game, I could choose the character out of a pre-made set, The character was customizable, The character was simple	post-apocalyptic world, sea, ocean, modern city, desert, space, spacecraft	the game kept me focused and absorbed, the game was challenging at the right point, the game was fast-paced and exciting, the game was addictive	No	not applicable	
4/19/2022 19:02:27	33	Female	more than 6 hours per week	No	No	5	5	1	3	4	2	3	5	5	4	4	1	5	5	3		Ghost of Tsushima 	action-adventure (eg. metroidvania)	5	visually stunning	4	rich in subplots, captivating, includes plot-twists	5	pleasant, captured my attention while playing, chilling, on spot, perfect for the game	5	I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent, The character was customizable	woods, forests, feudal era Japan	the game kept me focused and absorbed, the game was challenging at the right point, the game was fast-paced and exciting, the game was addictive	No	not applicable	
4/19/2022 19:04:12	33	Male	more than 6 hours per week	No	No	1	1	1	1	4	1	1	5	2	2	4	1	2	5	3		Star Wars Squadrons VR	action (eg. platform, survival, stealth, shooter, fighting...), simulation (eg. life simulation, vehicle simulation...)	5	realistic, simple	3	simple and easy to follow	4	on spot, perfect for the game	4	The character was customizable, I could choose the character out of a pre-made set, I identified myself with the main character, to a certain extent	space, spacecraft	the game was fast-paced and exciting	Yes	striking, immersive	(Text in Spanish) Parte del sentimiento de asombro estuvo ligado a la nostalgia. En particular, en mi niñez mi padre me regaló el juego Star Wars: X-Wing Alliance y un mando de vuelo, siendo de mis juegos favoritos de niño. El poder pilotear en realidad virtual un X-Wing años después del otro juego, el poder mirar alrededor y ver a mis compañeros de vuelo me generó una gran alegría y asombro.
4/19/2022 19:07:09	31	Male	2-6 hours per week	No	No	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	It’s just a video game. I play the have fun with engaging gameplay mechanics. That’s all. It’s not a religious experience lmao 	Hot wheels unleashed 	sports (eg. racing, sports-based fighting, competitive...)	5	visually stunning	5	simple and easy to follow	5	on spot, perfect for the game	5	Not applicable	modern city	the game was challenging, sometimes too much, the game was challenging at the right point, the game kept me focused and absorbed, the game was addictive, the game was fast-paced and exciting	No	not applicable	
4/19/2022 19:09:58	19	Male	2-6 hours per week	No	No	2	2	2	2	4	2	5	5	3	4	5	3	2	5	4		Inside	action (eg. platform, survival, stealth, shooter, fighting...), adventure (eg. text or graphic adventures, visual novels...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	5	simple, visually stunning, disturbing	4	captivating, Vague and open to interpretation	4	chilling, on spot, perfect for the game	5	The character was simple	post-apocalyptic world, woods, forests, underground facility	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 19:12:08	35	Male	more than 6 hours per week	No	No	4	4	2	1	1	1	1	4	2	2	4	1	2	2	1		Control	action-adventure (eg. metroidvania)	4	visually stunning	4	rich in subplots, complex, captivating	3	Noticeable and wonderful only when it needed to be - otherwise the soundtrack "stayed out of the way".	5	I identified myself with the main character, to a certain extent	fantasy world, modern city, I guess "A large X-files-ish building"  would be a cross between a fantasy world and a modern city?	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 19:13:00	37	Male	more than 6 hours per week	No	No	5	5	5	4	4	2	5	1	1	1	5	1	5	4	3		Kirby and the Forgotten Land	action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning, simple, Cute	3	simple and easy to follow	4	pleasant, Grandiose 	5	I identified myself with the main character, to a certain extent, The character was simple, I felt represented by the main character	desert, sea, ocean, post-apocalyptic world, space, spacecraft, modern city, fantasy world, woods, forests, carnival	the game was very easy, the game kept me focused and absorbed, the game was slow-paced and relaxing	No	not applicable	
4/19/2022 19:17:24	32	Male	more than 6 hours per week	No	No	4	2	3	1	2	1	2	4	1	2	4	2	4	1	3		No Man's Sky	adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...), simulation (eg. life simulation, vehicle simulation...)	4	visually stunning	2	simple and easy to follow, not applicable	5	chilling, pleasant, captured my attention while playing, on spot, perfect for the game		The character was customizable, I felt represented by the main character, Not applicable	space, spacecraft	the game was addictive, the game kept me focused and absorbed, the game was slow-paced and relaxing, the game was very easy	No	not applicable	
4/19/2022 19:20:19	24	Female	2-6 hours per week	No	No	5	5	5	5	5	4	1	5	1	2	5	1	5	5	5		Outer Wilds	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), adventure (eg. text or graphic adventures, visual novels...)	5	simple, visually stunning	5	includes plot-twists, complex, captivating	5	on spot, perfect for the game, captured my attention while playing, pleasant	5	The character was simple	woods, forests, sky, desert, sea, ocean, space, spacecraft, solar system and many planets with different terrains and ecosystems	the game was slow-paced and relaxing, the game was challenging, sometimes too much, the game was addictive, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 19:33:26	28	Male	more than 6 hours per week	No	No	1	1	4	3	4	4	4	2	4	2	4	2	4	5	4		Disco Elysium	adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	melancholy	5	captivating, includes plot-twists, complex, rich in subplots	5	chilling, melancholy	4	I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game	fantasy world, modern city	the game kept me focused and absorbed, the game was very easy	No	not applicable	
4/19/2022 19:37:06	23	Male	more than 6 hours per week	No	No	5	5	5	1	1	1	5	5	1	1	5	1	5	5	5		Elden Ring	action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning	5	rich in subplots, Intentionally obtuse, leaves threads open for the player to interpret and decide	5	on spot, perfect for the game	5	I identified myself with the main character, to a certain extent, I felt like my choices could affect the course of the game, I felt represented by the main character, I could choose the character out of a pre-made set, I was able to shape, at least partially, the main character's personality, The character was customizable	medieval towns, fantasy world, post-apocalyptic world, sky, woods, forests	the game kept me focused and absorbed, the game was challenging at the right point, the game was fast-paced and exciting	No	not applicable	
4/19/2022 19:50:35	28	Non-binary	2-6 hours per week	No	No	5	4	4	4	5	5	4	4	5	5	5	3	4	5	5		Necrobarista	Visual Novel	3	simple	5	captivating, rich in subplots, simple and easy to follow	5	chilling, on spot, perfect for the game, pleasant		Not applicable	modern city, fantasy world	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was very easy	No	not applicable	
4/19/2022 20:22:48	19	Male	more than 6 hours per week	No	No	1	1	1	1	1	1	1	4	1	1	5	1	3	4	1		Kena: Bridge of Spirits	adventure (eg. text or graphic adventures, visual novels...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania)	5	visually stunning	4	simple and easy to follow, captivating, Emotional	5	captured my attention while playing, chilling, pleasant, on spot, perfect for the game, Epic	4	I don't ever identify myself in game characters. From a design perspective the character was great in all aspects.	fantasy world, woods, forests, mountains, farms	the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	The game was made by an animation studio and it shows. The attention to detail in everything was simply stunning.
4/19/2022 20:32:47	30	Male	more than 6 hours per week	No	No	5	4	1	1	1	1	1	5	2	1	5	1	1	5	5		Red Dead Redemption 2	adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...)	5	realistic, visually stunning	5	rich in subplots, captivating, includes plot-twists	4	on spot, perfect for the game, pleasant, captured my attention while playing	5	The character was customizable, I identified myself with the main character, to a certain extent, I felt represented by the main character, I felt like my choices could affect the course of the game, I was able to shape, at least partially, the main character's personality	woods, forests, desert	the game was fast-paced and exciting, the game kept me focused and absorbed	No	not applicable	
4/19/2022 20:38:25	24	Male	2-6 hours per week	No	No	4	2	3	4	3	4	4	4	3	4	5	2	5	5	4		Dark Souls	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	visually stunning	5	complex, captivating, includes plot-twists	5	on spot, perfect for the game, pleasant, captured my attention while playing	5	The character was customizable, I felt like my choices could affect the course of the game	fantasy world, post-apocalyptic world, medieval towns, woods, forests	the game kept me focused and absorbed, the game was challenging, sometimes too much, the game was fast-paced and exciting	No	not applicable	
4/19/2022 20:40:21	27	Male	more than 6 hours per week	No	No	1	1	1	1	1	1	1	3	1	3	3	1	1	1	1		Fallout: New Vegas	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	2	simple	5	complex, rich in subplots, captivating	4	pleasant, on spot, perfect for the game, captured my attention while playing		The character was customizable, I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game	post-apocalyptic world	the game was very easy	No	not applicable	
4/19/2022 20:42:03	25	Male	more than 6 hours per week	No	No	2	1	1	1	3	3	2	2	3	2	4	1	4	5	2		Psychonauts 2	action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...)	5	simple, visually stunning	5	simple and easy to follow, includes plot-twists, complex, captivating	5	captured my attention while playing, pleasant, on spot, perfect for the game	5	I identified myself with the main character, to a certain extent, I felt represented by the main character	modern city, woods, forests, fantasy world, sea, ocean, amusement park, music festival, people’s minds	the game was addictive, the game was fast-paced and exciting, the game was very easy, the game kept me focused and absorbed	No	not applicable	
4/19/2022 20:43:43	36	Male	more than 6 hours per week	No	No	3	3	2	1	1	1	1	3	1	1	4	2	1	2	1		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning	3	complex, confusing	5	chilling, on spot, perfect for the game	5	The character was customizable	woods, forests, medieval towns, fantasy world	the game was challenging at the right point, the game was fast-paced and exciting, the game was addictive	No	not applicable	
4/19/2022 20:44:49	32	Male	more than 6 hours per week	Yes	No	4	2	4	1	4	1	2	4	4	4	4	4	2	4	1		Crusader Kings 3	strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	simple	4	Unique, personal	4	chilling	3	I was able to shape, at least partially, the main character's personality, I could choose the character out of a pre-made set, The character was customizable, I felt like my choices could affect the course of the game, I felt represented by the main character, I identified myself with the main character, to a certain extent	medieval towns	the game kept me focused and absorbed, the game was challenging at the right point, the game was slow-paced and relaxing, the game was addictive	No	not applicable	
4/19/2022 20:45:34	24	Male	2-6 hours per week	No	No	1	1	1	1	1	1	1	5	1	1	5	1	3	5	5		Dragon Age - Origins 	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning, realistic	5	rich in subplots, complex, includes plot-twists, captivating	5	on spot, perfect for the game	5	I felt like my choices could affect the course of the game, The character was customizable	woods, forests, medieval towns, fantasy world	the game was challenging at the right point, the game was addictive, the game kept me focused and absorbed	No	not applicable	
4/19/2022 20:48:46	29	Male	2-6 hours per week	No	No	5	2	1	2	1	1	1	2	2	4	3	1	5	3	3		Assassin's creed valhalla 	adventure (eg. text or graphic adventures, visual novels...)	3	visually stunning, disturbing	5	simple and easy to follow, boring	4	captured my attention while playing	5	Not applicable	woods, forests, sea, ocean, fantasy world	the game kept me focused and absorbed	No	not applicable	
4/19/2022 20:51:53	21	Male	more than 6 hours per week	No	No	3	3	3	3	3	4	5	5	4	3	5	1	4	5	5		Yakuza 2 Kiwami 	action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning, realistic	5	rich in subplots, complex, captivating, includes plot-twists	3	irrelevant, left me indifferent	5	The character was simple	modern city	the game was addictive, the game was fast-paced and exciting, the game was slow-paced and relaxing, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/19/2022 20:55:02	25	Male	more than 6 hours per week	No	No	5	5	2	2	4	5	4	4	4	5	5	1	5	5	2		Prey (2017)	action (eg. platform, survival, stealth, shooter, fighting...)	4	simple, Graphics themselves aren’t anything special, but the art direction makes up for it	3	captivating, includes plot-twists, Great premise great beginning lackluster ending 	5	captured my attention while playing, on spot, perfect for the game	3	I felt like my choices could affect the course of the game	space, spacecraft	the game kept me focused and absorbed	No	not applicable	
4/19/2022 21:01:49	21	Male	more than 6 hours per week	No	No	2	2	4	2	4	3	4	5	4	3	4	2	3	5	2		Loop Hero	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	simple, visually stunning	4	confusing, captivating, rich in subplots	5	on spot, perfect for the game, captured my attention while playing		Not applicable	post-apocalyptic world, fantasy world, medieval towns	the game was slow-paced and relaxing, the game was challenging at the right point, the game was addictive	No	not applicable	It may sound weird to be awed by Loop Hero, but it was my most recent such experience.
4/19/2022 21:04:20	23	Male	more than 6 hours per week	No	No	5	3	2	2	1	1	2	5	5	5	5	1	4	4	2		Red Dead Redemption 2	action (eg. platform, survival, stealth, shooter, fighting...), adventure (eg. text or graphic adventures, visual novels...), action-adventure (eg. metroidvania)	5	realistic, visually stunning, Immersive	5	includes plot-twists, rich in subplots, captivating, complex	3	irrelevant, left me indifferent, pleasant	5	I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game	woods, forests, 19th century	the game was slow-paced and relaxing, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/19/2022 21:05:41	25	Male	more than 6 hours per week	No	No	4	2	4	3	4	3	4	4	5	4	5	2	4	5	3		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning, disturbing	3	rich in subplots, complex	4	on spot, perfect for the game, captured my attention while playing	3	I could choose the character out of a pre-made set, I felt like my choices could affect the course of the game, The character was customizable	fantasy world	the game was addictive, the game was challenging, sometimes too much, the game kept me focused and absorbed	No	not applicable	
4/19/2022 21:14:20	30	Male	2-6 hours per week	No	No	2	2	3	2	3	3	3	5	5	4	5	4	4	5	3		Subnautica	Survival	4	simple, visually stunning	5	simple and easy to follow, captivating	5	captured my attention while playing, pleasant, on spot, perfect for the game, chilling	3	Not applicable	sea, ocean, space, spacecraft	the game was addictive, the game was slow-paced and relaxing, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/19/2022 21:16:43	33	Male	more than 6 hours per week	No	No	2	2	4	4	2	2	4	3	1	1	3	1	5	3	3		Elder Scrolls: Skyrim	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	realistic, visually stunning	5	rich in subplots, simple and easy to follow	4	on spot, perfect for the game, captured my attention while playing, pleasant	5	I identified myself with the main character, to a certain extent, The character was customizable, I felt like my choices could affect the course of the game	woods, forests, fantasy world, medieval towns	the game was slow-paced and relaxing, the game was challenging at the right point, the game was fast-paced and exciting	No	not applicable	
4/19/2022 21:17:05	31	Male	more than 6 hours per week	No	No	4	5	1	4	5	3	4	5	1	4	4	3	4	5	5		The Last Of Us	action (eg. platform, survival, stealth, shooter, fighting...)	5	realistic	5	captivating, complex, includes plot-twists, rich in subplots, Real	5	on spot, perfect for the game, captured my attention while playing, pleasant, chilling	5	I identified myself with the main character, to a certain extent	woods, forests, post-apocalyptic world	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 21:18:17	22	Male	more than 6 hours per week	No	No	4	4	1	4	4	2	3	5	3	4	5	1	1	5	5		Outer Wilds	Exploration, Story Focused	4	visually stunning	5	includes plot-twists, rich in subplots, complex, captivating	5	pleasant, captured my attention while playing, on spot, perfect for the game, chilling, Emotional	3	The character was simple	space, spacecraft, woods, forests, sea, ocean, sky, desert, post-apocalyptic world	the game kept me focused and absorbed, the game was challenging at the right point, the game was slow-paced and relaxing	No	not applicable	
4/19/2022 21:26:45	22	Male	more than 6 hours per week	No	No	3	2	3	3	3	2	3	4	3	3	5	3	4	4	4		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	visually stunning	4	captivating, complex, rich in subplots	5	captured my attention while playing, on spot, perfect for the game		I was able to shape, at least partially, the main character's personality	fantasy world	the game was addictive, the game was fast-paced and exciting, the game was slow-paced and relaxing, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/19/2022 21:30:57	26	Male	2-6 hours per week	No	No	3	3	5	5	5	5	5	5	5	4	5	4	2	5	5	Best I can describe is a mix of despair and hope, sadness and happiness altogether 	Silent Hill 2	action (eg. platform, survival, stealth, shooter, fighting...)	3	realistic, disturbing, Gritty, claustrophobic, rusty	5	includes plot-twists, complex, rich in subplots, captivating	5	chilling, captured my attention while playing, on spot, perfect for the game, pleasant	3	I felt like my choices could affect the course of the game	woods, forests, modern city	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	Voice acting, definitely contributed to the entire experience..
4/19/2022 21:31:50	21	Female	2-6 hours per week	No	No	5	5	3	4	5	5	4	5	5	5	2	1	2	5	5	Was thinking about RDR2 Braithwaite manor scene. I’ve yet to find another game that left me in such awe in terms of beauty, story, emotion.	Red Dead Redemption 2	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action-adventure (eg. metroidvania)	5	realistic, visually stunning	5	captivating, includes plot-twists, rich in subplots, complex	5	captured my attention while playing, on spot, perfect for the game, chilling, pleasant	5	I felt like my choices could affect the course of the game, I was able to shape, at least partially, the main character's personality, Could change clothes and haircut, but gender and build weren’t not customizable	desert, woods, forests, Fictional 1890s western town in USA. Had vast biome with deserts, swamps, modern and old towns, etc	the game was challenging at the right point, the game was addictive, the game kept me focused and absorbed	No	not applicable	Was also left in awe of how much the game improved since the studios last game. But it also took 5 years of no new games for it to happen which is boring
4/19/2022 21:44:58	24	Male	more than 6 hours per week	No	No	5	4	3	4	4	2	3	5	3	4	5	2	4	5	4		Lost in random	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	3	disturbing, visually stunning, simple	5	captivating, rich in subplots, complex, includes plot-twists	5	captured my attention while playing, on spot, perfect for the game, chilling	5	I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game	woods, forests, fantasy world	the game kept me focused and absorbed, the game was very easy	No	not applicable	
4/19/2022 21:51:57	17	Male	more than 6 hours per week	No	No	4	4	4	1	2	4	4	4	1	2	4	1	3	5	4	This is not an event that happened in a game, rather an event that revealed news pertaining to it.	Super Smash Bros Ultimate	action (eg. platform, survival, stealth, shooter, fighting...), sports (eg. racing, sports-based fighting, competitive...)	4	simple		not applicable	5	captured my attention while playing, on spot, perfect for the game, pleasant, I feel it is somewhat disingenuous to refer to Smash's soundtrack in in this way - as it is a compilation of arrangements from across the gaming landscape.	4	I felt like my choices could affect the course of the game, I am not sure if I should have awnsered this, but I feel playing as a character in a fighting game counts at least somewhat.	Super Smash Bros takes place in many settings, all of which are mostly irrelevant to gameplay	the game was fast-paced and exciting, the game was addictive, the game kept me focused and absorbed	No	not applicable	In the questions on page 2, I was referring to the reveal of the final DLC character, Sora from the Kingdom Hearts series. I am not a particularly big fan of that series, but seeing a character I had long thought impossible make it in was truly awe inspiring. Other character reveals, such as Steve from Minecraft and King K. Rool from the Donkey Kong series, had a simmilar impact. I spend almost as much time talking and thinking about characters that could be in Smash as I do actually playing the game, it's a key part of the experience to me. I apologize if this would not count for what you are looking for.
